Model	Epochs	Lambda	Numerical tests	Categorical tests	Distances 	Numerical correlations 	Categorical correlations	Average Precision	Average Recall 	Average Accuracy 	Average F1
multifairgan	200	2	0.060606061	0.051948052	0.860606061	0.354545455	0.290909091	0.715063636	0.711327273	0.711561818	0.708427273
multifairgan	200	5	0.024242424	0.064935065	0.848484848	0.363636364	0.280909091	0.703154545	0.698218182	0.69852	0.693270909
multifairgan	250	0.2	0.072727273	0.038961039	0.878787879	0.372727273	0.295454545	0.722354545	0.717932727	0.718230909	0.715690909
multifairgan	250	0.4	0.090909091	0.051948052	0.866666667	0.372727273	0.27	0.699887273	0.695372727	0.69556	0.692705455
multifairgan	250	0.6	0.084848485	0.051948052	0.896969697	0.4	0.318181818	0.701738182	0.696661818	0.696789091	0.693769091
multifairgan	250	0.8	0.066666667	0	0.872727273	0.354545455	0.301818182	0.701463636	0.696025455	0.69624	0.693430909
multifairgan	250	1	0.078787879	0.025974026	0.878787879	0.390909091	0.288181818	0.712323636	0.706338182	0.70652	0.703601818
multifairgan	250	1.5	0.042424242	0.051948052	0.878787879	0.354545455	0.278181818	0.7038	0.697563636	0.697681818	0.694441818
multifairgan	250	2	0.006060606	0.077922078	0.878787879	0.363636364	0.287272727	0.693405455	0.688916364	0.689029091	0.685945455
multifairgan	250	5	0.066666667	0.051948052	0.860606061	0.418181818	0.324545455	0.699703636	0.695485455	0.695550909	0.692994545
multifairgan	300	0.2	0.066666667	0.012987013	0.884848485	0.390909091	0.299090909	0.693010909	0.687536364	0.687707273	0.684849091
multifairgan	300	0.4	0.078787879	0.038961039	0.872727273	0.390909091	0.312727273	0.7004	0.6953	0.695447273	0.6919
multifairgan	300	0.6	0.072727273	0.038961039	0.872727273	0.381818182	0.3	0.689707273	0.682978182	0.683052727	0.679556364
multifairgan	300	0.8	0.036363636	0.064935065	0.866666667	0.336363636	0.282727273	0.689572727	0.683447273	0.683589091	0.680094545
multifairgan	300	1	0.072727273	0.038961039	0.866666667	0.345454545	0.281818182	0.70386	0.698261818	0.698370909	0.695172727
multifairgan	300	1.5	0.048484848	0.025974026	0.860606061	0.4	0.260909091	0.684810909	0.680078182	0.680292727	0.676107273
multifairgan	300	2	0.048484848	0.077922078	0.860606061	0.390909091	0.333636364	0.700785455	0.696483636	0.696676364	0.693398182
multifairgan	300	5	0.096969697	0.025974026	0.872727273	0.363636364	0.287272727	0.685318182	0.679945455	0.680185455	0.676463636
tvae	200		0.224242424	0.064935065	0.848484848	0.3	0.722727273	0.739203636	0.730787273	0.731521818	0.729710909
tvae	250		0.157575758	0.051948052	0.848484848	0.372727273	0.697272727	0.735325455	0.725781818	0.72668	0.72458
tvae	300		0.139393939	0.064935065	0.848484848	0.345454545	0.727272727	0.715730909	0.706901818	0.707709091	0.705545455
ctgan	50		0.157575758	0.051948052	0.909090909	0.4	0.372727273	0.675949091	0.672236364	0.672436364	0.669887273
ctgan	100		0.121212121	0.025974026	0.896969697	0.409090909	0.260909091	0.654296364	0.646830909	0.647036364	0.64206
ctgan	150		0.236363636	0.038961039	0.909090909	0.345454545	0.276363636	0.661003636	0.653256364	0.653409091	0.648712727
ctgan	200		0.193939394	0	0.909090909	0.372727273	0.298181818	0.657554545	0.651363636	0.651481818	0.647265455
ctgan	250		0.224242424	0.064935065	0.909090909	0.372727273	0.251818182	0.65832	0.652581818	0.65282	0.648485455
ctgan	300		0.23030303	0.051948052	0.903030303	0.4	0.233636364	0.656092727	0.6487	0.648667273	0.644465455
